titles,summary,genre,year
Breathe In,"When a foreign exchange student arrives in a small upstate New York town, she challenges the dynamics of her host family's relationships and alters their lives forever.","Drama, Romance",2013
It's a Disaster,Four couples meet for Sunday brunch only to discover they are stuck in a house together as the world may be about to end.,"Comedy, Drama",2012
Cloudy with a Chance of Meatballs 2,"Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational, and is churning out menacing food-animal hybrids.","Animation, Adventure, Comedy",2013
Pain & Gain,A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.,"Action, Comedy, Crime",2013
Resolution,"A man imprisons his estranged junkie friend in an isolated cabin in the boonies of San Diego to force him through a week of sobriety, but the events of that week are being mysteriously manipulated.","Drama, Horror, Mystery",2012
Compliance,"A normal Friday service at a fast food restaurant becomes interrupted by a police officer who claims an employee stole from a customer, but something more sinister is going on.","Crime, Drama, Horror",2012
Tomorrowland,"Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.","Action, Adventure, Family",2015
The Brass Teapot,"When a couple discovers that a brass teapot makes them money whenever they hurt themselves, they must come to terms with how far they are willing to go.","Comedy, Fantasy, Thriller",2012
Thanks for Sharing,A romantic comedy that brings together three disparate characters who are learning to face a challenging and often confusing world as they struggle together against a common demon: sex addiction.,"Comedy, Drama, Romance",2012
Let's Be Cops,"Two struggling pals dress as police officers for a costume party and become neighborhood sensations. But when these newly-minted ""heroes"" get tangled in a real life web of mobsters and dirty detectives, they must put their fake badges on the line.","Action, Comedy, Crime",2014
Turbo,A freak accident might just help an everyday garden snail achieve his biggest dream: winning the Indy 500.,"Animation, Adventure, Comedy",2013
The Baytown Outlaws,"When three redneck brothers agree to help a woman save her godson from an abusive stepfather, they become targets on the run from an odd cast of characters.","Action, Comedy, Crime",2012
Great Expectations,A series of events change the orphaned Pip's life forever as he eagerly abandons his humble origins to begin a new life as a gentleman.,"Drama, Romance",2012
Step Up Revolution,"Emily arrives in Miami with aspirations to become a professional dancer. She sparks with Sean, the leader of a dance crew whose neighborhood is threatened by Emily's father's development plans.","Drama, Music, Romance",2012
John Dies at the End,"A new street drug that sends its users across time and dimensions has one drawback: some people return no longer human. Can two college drop-outs save humanity from this silent, otherworldly invasion?","Comedy, Fantasy, Horror",2012
Message from the King,"A mysterious outsider from South Africa, named Jacob King, arrives in Los Angeles to look for his missing younger sister.","Action, Crime, Drama",2016
Before I Fall,"February 12 is just another day in Sam's charmed life, until it turns out to be her last. Stuck reliving her last day over and over, Sam untangles the mystery around her death and discovers everything she's losing.","Drama, Fantasy, Mystery",2017
Grudge Match,"A pair of aging boxing rivals are coaxed out of retirement to fight one final bout, thirty years after their last match.","Comedy, Drama, Sport",2013
Colombiana,"A young woman, after witnessing her parents' murder as a child in Bogota, grows up to be a stone-cold assassin.","Action, Drama, Thriller",2011
Here Comes the Boom,A high school biology teacher looks to become a successful mixed-martial arts fighter in an effort to raise money to prevent extra-curricular activities from being axed at his cash-strapped school.,"Action, Comedy, Sport",2012
The Dictator,The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.,Comedy,2012
Our Idiot Brother,A comedy centered on an idealist who barges into the lives of his three sisters.,"Comedy, Drama",2011
The Woman in Black,A young solicitor travels to a remote village where he discovers the vengeful ghost of a scorned woman is terrorizing the locals.,"Drama, Fantasy, Horror",2012
A Dangerous Method,A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis.,"Biography, Drama, Romance",2011
The Voices,"A likable guy pursues his office crush with the help of his evil talking pets, but things turn sinister when she stands him up for a date.","Comedy, Crime, Horror",2014
Just Go with It,"On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.","Comedy, Romance",2011
Flypaper,A man caught in the middle of two simultaneous robberies at the same bank desperately tries to protect the teller with whom he's secretly in love.,"Comedy, Crime, Mystery",2011
Everything Must Go,"When an alcoholic relapses, causing him to lose his wife and his job, he holds a yard sale on his front lawn in an attempt to start over. A new neighbor might be the key to his return to form.",Drama,2010
Underworld Awakening,"When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrior Selene leads the battle against humankind.","Action, Drama, Fantasy",2012
Triple Frontier,"Loyalties are tested when five friends and former special forces operatives reunite to take down a South American drug lord, unleashing a chain of unintended consequences.","Action, Adventure, Crime",2019
The Raven,"When a madman begins committing horrific murders inspired by Edgar Allan Poe's works, a young Baltimore detective joins forces with Poe to stop him from making his stories a reality.","Crime, Mystery, Thriller",2012
The Lorax,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.","Animation, Adventure, Comedy",2012
Charlie St. Cloud,"Charlie's brother, Sam, dies in a car crash that Charlie survives. Charlie is given the gift of seeing his dead brother and others who he has lost such as his friend who died in the military, but when the girl he falls in love with's life is at risk, he must choose between his girlfriend and his brother.","Drama, Fantasy, Romance",2010
Faster,An ex-con gets on a series of apparently unrelated killings. He gets tracked by a veteran cop with secrets of his own and an egocentric hit man.,"Action, Crime, Drama",2010
Predators,A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.,"Action, Adventure, Sci-Fi",2010
The Hangover Part II,"Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry.",Comedy,2011
Riddick,"Left for dead on a sun-scorched planet, Riddick finds himself up against an alien race of predators. Activating an emergency beacon alerts two ships: one carrying a new breed of mercenary, the other captained by a man from Riddick's past.","Action, Adventure, Sci-Fi",2013
The Company You Keep,"After a journalist discovers his identity, a former Weather Underground activist goes on the run.","Drama, Thriller",2012
