titles,summary,genre,year
Bohemian Rhapsody,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).","Biography, Drama, Music",2018
The Revenant,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,"Action, Adventure, Biography",2015
The Perks of Being a Wallflower,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.,"Drama, Romance",2012
The King's Speech,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.","Biography, Drama, History",2010
Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","Action, Adventure, Comedy",2016
The Stoning of Soraya M.,A desperate woman asks for a meeting with a journalist to disclose the cruel and inhumane punishment of her niece.,Drama,2008
My Name Is Khan,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Drama,2010
Slumdog Millionaire,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".","Drama, Romance",2008
Black Swan,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".","Drama, Thriller",2010
The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,"Action, Adventure, Sci-Fi",2012
Persepolis,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,"Animation, Biography, Drama",2007
Dallas Buyers Club,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.","Biography, Drama",2013
The Pursuit of Happyness,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,"Biography, Drama",2006
Blood Diamond,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.","Adventure, Drama, Thriller",2006
The Bourne Ultimatum,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,"Action, Mystery, Thriller",2007
Sin City,"A movie that explores the dark and miserable town, Basin City, and tells the story of three different people, all caught up in violent corruption.","Crime, Thriller",2005
The Diving Bell and the Butterfly,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,"Biography, Drama",2007
Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,"Animation, Adventure, Comedy",2007
Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Drama, Romance",2004
Casino Royale,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.","Action, Adventure, Thriller",2006
Kill Bill: Vol. 2,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.","Action, Crime, Thriller",2004
Cinderella Man,"The story of James J. Braddock (Russell Crowe), a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.","Biography, Drama, History",2005
Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","Action, Adventure, Fantasy",2003
Big Fish,A frustrated son tries to determine the fact from fiction in his dying father's life.,"Adventure, Drama, Fantasy",2003
